match_id,start_time,patch_version,radiant_win,radiant_recent_winrate,dire_recent_winrate,r1_hero_winrate,r2_hero_winrate,r3_hero_winrate,r4_hero_winrate,r5_hero_winrate,d1_hero_winrate,d2_hero_winrate,d3_hero_winrate,d4_hero_winrate,d5_hero_winrate
8702997623,1771842851,59,1,0.45,0.5789,0.6667,0.0,1.0,0.5,0.75,0.5,0.75,0.5,0.5,0.5
8703101544,1771847457,59,0,0.55,0.5,0.75,1.0,0.6667,0.5,0.625,0.5,0.5,1.0,0.25,0.8
8703243107,1771853095,59,0,0.55,0.5,0.5,0.5,0.0,0.0,0.8,1.0,0.5,0.25,1.0,0.4286
8703354577,1771857238,59,1,0.55,0.55,0.5,0.0,0.4,0.5,0.8333,0.6667,0.5,0.5,0.5,0.8
8703518862,1771863986,59,0,0.9,0.7,1.0,0.875,1.0,1.0,1.0,1.0,0.8,0.6667,0.875,1.0
8703596234,1771867320,59,1,0.85,0.75,1.0,0.75,0.8462,1.0,1.0,0.8,0.6,0.75,0.8889,1.0
8703682176,1771871340,59,0,0.7,0.85,0.6667,0.8333,0.8,1.0,0.5,0.5,0.7778,0.6667,0.9,1.0
8703811606,1771878120,59,0,0.55,0.7778,0.6667,0.6667,0.5,0.8,0.6667,0.75,0.6667,0.6667,0.5,0.0
8703862527,1771881360,59,1,0.7895,0.55,1.0,1.0,0.5,0.8,0.3333,1.0,0.5,0.5,0.0,0.5
8704372110,1771928695,59,0,0.6,0.7,0.5,1.0,1.0,1.0,0.8571,0.5,0.6667,0.4,0.6667,1.0
8704436647,1771932783,59,0,0.55,0.7,0.0,0.5,0.5,0.5,0.75,0.5714,1.0,0.0,0.5,1.0
8704584247,1771939498,59,1,0.55,0.55,0.5,1.0,1.0,0.5,0.6667,0.0,0.5,0.5,0.5,0.3333
8704672982,1771942917,59,1,0.55,0.55,0.0,0.5,0.0,0.5,0.3333,0.5556,0.5,1.0,0.5,0.5
8704809958,1771948496,59,1,0.55,0.5,0.5,0.0,0.5,0.5,0.8333,1.0,1.0,0.6667,0.0,0.6667
8704911047,1771953000,59,0,0.55,0.55,0.6,0.6,0.4286,0.0,0.5556,0.0,0.3333,0.5,0.0,0.5
8704994010,1771956900,59,0,0.5,0.55,0.5714,0.0,1.0,1.0,0.5,0.5,1.0,0.5,0.25,0.6
8705093983,1771961940,59,0,0.85,0.8,1.0,0.9,0.8333,1.0,1.0,0.0,0.75,1.0,0.8333,1.0
8705170081,1771966440,59,1,0.8,0.8,1.0,0.8,0.8571,0.75,0.5,1.0,1.0,0.75,0.8571,1.0
8705234350,1771971382,59,0,0.8,0.75,1.0,1.0,0.75,0.8333,1.0,0.8,0.8,1.0,0.5,0.5
8705689500,1772015097,59,0,0.55,0.5,0.0,1.0,0.0,1.0,0.3333,0.5,0.0,1.0,1.0,0.5
8705770056,1772020136,59,0,0.55,0.5,0.5,1.0,0.5,0.6667,0.5556,0.5,0.5,0.5,0.5,0.4286
8705868819,1772024876,59,0,0.5,0.5,0.0,0.5,0.3333,1.0,0.25,0.5714,1.0,0.3333,0.3333,1.0
8705985032,1772029556,59,1,0.45,0.75,0.5,0.6667,0.0,0.5,0.8333,0.5,0.8,1.0,1.0,0.5
8706108597,1772034719,59,0,0.45,0.7,0.25,0.5,0.5,1.0,0.8571,0.8333,1.0,1.0,0.5,0.5
8706217180,1772039636,59,0,0.4,0.75,0.5,1.0,1.0,1.0,0.7143,1.0,0.5,0.5,0.6667,1.0
8706315543,1772044380,59,0,0.55,0.75,0.6667,1.0,0.6667,1.0,0.6667,1.0,0.7143,0.7273,0.8,1.0
8706393740,1772048400,59,1,0.75,0.5,0.5714,0.7143,1.0,0.75,1.0,0.5,0.5,0.5,0.5,1.0
8706467498,1772052841,59,1,0.75,0.5,0.8,0.8182,1.0,1.0,0.8571,0.5,0.0,0.375,0.5,0.5
8706520721,1772056920,59,1,0.45,0.75,0.5,0.5,0.5,0.4286,0.75,0.8571,0.8182,0.8667,0.7143,0.875
8706561733,1772060820,59,1,0.45,0.7,0.5,0.5,0.5,0.0,0.4545,1.0,0.75,0.8125,0.625,0.875
8706982309,1772101496,59,0,0.45,0.75,0.3333,0.6,0.5,1.0,0.25,0.5,0.75,0.0,0.8182,1.0
8707039268,1772105095,59,1,0.45,0.75,0.5,1.0,0.6667,0.3333,0.5,0.625,0.7778,0.6,0.5,0.8333
8707134142,1772109836,59,1,0.7,0.45,1.0,0.75,0.5,0.6667,1.0,0.6,0.5,0.5,0.4,0.5
8707250597,1772114637,59,0,0.75,0.45,0.8571,0.5,0.5,1.0,0.6667,0.5,0.0,0.6,0.5,0.3333
8707360093,1772118897,59,0,0.45,0.75,0.5,0.5556,0.5,0.6667,0.8,1.0,1.0,0.6667,1.0,1.0
8707467954,1772123516,59,1,0.8,0.4,1.0,0.5,0.5,0.75,0.5,0.5,0.5,0.0,0.5,0.0
8707575685,1772128500,59,0,0.5,0.65,0.625,0.5,1.0,0.5,0.5,0.6667,0.6923,1.0,0.7143,0.7778
8707662784,1772132820,59,0,0.65,0.45,0.75,0.8235,1.0,0.75,1.0,0.0,0.5,0.0,0.4,0.4545
